title,category,subCategory,description,specification,brand,price,image
MX85,Security and SD-WAN (MX),Medium Branch,"Meraki MX85 - это корпоративное устройство безопасности, разработанное для распределенных развертываний, требующих удаленного администрирования в средах среднего уровня. Оно идеально подходит для сетевых администраторов, которым требуется простота развертывания и современный набор функций. Панель управления Meraki обеспечивает простое и понятное развертывание MX85 с минимальной предварительной настройкой практически в любом месте.","Особенности
MX85 обеспечивает 4 выделенных восходящих канала WAN, 2 порта SFP 1GbE и 2 порта RJ45 1GbE. Порты LAN включают в себя 8 портов RJ45 1GbE и 2 порта SFP. MX85 готов к развертыванию в различных корпоративных средах. Устройство MX85 предоставляет следующие возможности:

Управление осуществляется с помощью панели управления Cisco Meraki Dashboard

Автоматическое обновление встроенного по

Балансировка каналов глобальной сети

Автоматическая отработка отказа в глобальной сети

SD-WAN через Meraki AutoVPN

Брандмауэр L3/L7 с отслеживанием состояния

Правила брандмауэра на основе географических данных

1:1 и 1:Много NAT

Настраиваемые сети VLAN / поддержка DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Конечная точка Meraki AutoVPN и L2TP/IPSec VPN

Интеграция с Active Directory

Фильтрация содержимого

Защита от вредоносных программ (AMP) с дополнительной интеграцией сетки угроз

Защита IDS/IPS 

Настраиваемое формирование трафика

Историческая статистика использования клиентов

Поддержка Netflow

Интеграция с системным журналом

Инструменты удаленного захвата пакетов",Meraki,2925,https://meraki.cisco.com/wp-content/uploads/2023/09/mx85-security-sdwan-product-tile.png
MX95,Security and SD-WAN (MX),Medium Branch,"Meraki MX 95/105 - это корпоративное устройство безопасности, разработанное для распределенных развертываний, требующих удаленного администрирования в средах среднего уровня. Оно идеально подходит для сетевых администраторов, которым требуется простота развертывания и современный набор функций. Панель управления Meraki обеспечивает простое и понятное развертывание MX 95/105 с минимальной реконфигурацией практически в любом месте.  

Включает в себя 4 выделенных восходящих канала WAN, 2 порта SFP+ 10G и 2 порта RJ45 2,5G gig. Порты LAN включают в себя 4 порта RJ45 1GbE и 2 порта SFP+ 10G. MX 95/105 готов к развертыванию в различных корпоративных средах. MX 95/105","Особенности  
Управляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Балансировка каналов глобальной сети

Автоматическая отработка отказа в глобальной сети

SD-WAN через Meraki Auto VPN

Брандмауэр с отслеживанием состояния L3/L7

Правила брандмауэра на основе географических данных

1:1 и 1:Много NAT

Настраиваемая поддержка VLAN/DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Meraki Auto VPN и конечная точка L2TP/IPSec VPN

Интеграция с Active Directory

Фильтрация содержимого

Защита от вредоносных программ (AMP) с дополнительной интеграцией сетки угроз

Защита IDS/IPS                                                                                                                                                          Интерфейс
2x SFP+ / 10 Gigabit Ethernet ports dedicated for the WAN uplink
1x RJ45 / 2.5 Gigabit Ethernet port dedicated for the WAN uplink
1x RJ45 / 2.5 Gigabit Ethernet port with PoE+ capabilities dedicated for the WAN uplink
4x RJ45 / 1 Gigabit Ethernet LAN ports
2x SFP+ / 10 Gigabit Ethernet LAN ports 
1x RJ45 management port for local status page access
1x USB 3.0 port 
Remote packet capture tools                                                                                                                                                                                                                                                                                                                                                                        ",Meraki,5909,https://meraki.cisco.com/wp-content/uploads/2023/09/mx95-security-sdwan-product-tile.png
MX250,Security and SD-WAN (MX),Large branch/campus concentrator,"Meraki MX250 - это устройство безопасности и SD-WAN, предназначенное для предоставления услуг маршрутизации SD-WAN и брандмауэра UTM для больших кампусов в дополнение к услугам безопасной концентрации VPN для крупных топологий VPN. Он идеально подходит для сетевых администраторов, которым требуется простота развертывания и современный набор функций. Панель мониторинга Meraki позволяет легко и непринужденно развернуть MX250 с минимальной перенастройкой практически в любом месте.

Включает в себя 2 выделенных порта WAN 10G SFP+. Порты LAN включают в себя 8 портов 10G SFP+, 8 портов 1G SFP и 8 портов 1G RJ45. MX250 готов к развертыванию в различных корпоративных средах.","
Интерфейс - WAN 2x SFP+ / 10 Gigabit Ethernet ports for WAN Uplink
LAN
8x SFP+ / 10 Gigabit Ethernet LAN Ports
8x SFP / 1 Gigabit Ethernet LAN Ports
8x RJ45 / Gigabit Ethernet LAN Ports

1x RJ45 Management Interface
Тип крепления	-Rack mount
Размеры - 483 mm x 440 mm x 44 mm
Вес-7.3kg
модель блока питания-Modular 100-220V 50/60Hz AC
2 x 250WAC PSU
Power load (idle/max)	
105W / 190W
Рабочая температура	- 0°C to 40°C
Влажность -	5% to 95%",Meraki,13125,https://meraki.cisco.com/wp-content/uploads/2023/09/mx250-security-sdwan-product-tile.png
MX450,Security and SD-WAN (MX),Large branch/campus concentrator,"Meraki MX450 - это устройство безопасности и SD-WAN, предназначенное для предоставления услуг маршрутизации SD-WAN и брандмауэра UTM для больших кампусов в дополнение к услугам безопасной концентрации VPN для крупных топологий VPN. Он идеально подходит для сетевых администраторов, которым требуется простота развертывания и современный набор функций. Панель мониторинга Meraki позволяет легко и непринужденно развернуть MX450 с минимальной перенастройкой практически в любом месте.

Включает в себя 2 выделенных порта WAN 10G SFP+. Порты LAN включают в себя 8 портов 10G SFP+, 8 портов 1G SFP и 8 портов 1G RJ45. MX450 готов к развертыванию в различных корпоративных средах.","Интерфейс 
WAN
2x SFP+ / 10 Gigabit Ethernet ports for WAN Uplink

LAN
8x SFP+ / 10 Gigabit Ethernet LAN Ports

8x SFP / 1 Gigabit Ethernet LAN Ports

8x RJ45 / Gigabit Ethernet LAN Ports

Management
1x RJ45 Management Interface


Physical
Тип крепления	
Rack mount

Размеры - (483 mm x 440 mm x 44 mm)

Вес-7.3kg
модель блока питания	 - Modular 100-220V 50/60Hz AC

2 x 250WAC PSU

Power load (idle/max)	
105W / 190W

Рабочая температура	
0°C to 40°C

Влажность	5% to 95%",Meraki,26255,https://meraki.cisco.com/wp-content/uploads/2023/09/mx450-security-sdwan-product-tile.png
Z4,Security and SD-WAN (MX),Teleworker,"Cisco Meraki Z4 teleworker gateway - это брандмауэр корпоративного класса, VPN-шлюз и маршрутизатор. Это устройство обеспечивает беспроводное подключение благодаря Wi-Fi 6, пяти гигабитным портам Ethernet, включая встроенный порт с поддержкой PoE для VoIP-телефонов и других устройств с поддержкой PoE. Модуль Z4 предназначен для надежного расширения возможностей облачной управляемой сети Meraki практически в любом месте.","Особенности
Управляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Брандмауэр с отслеживанием состояния L3/L7

1:1 и 1:Много NAT

Поддержка настраиваемых сетей VLAN / DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Конечная точка Meraki AutoVPN и IPSec VPN

Пользовательское формирование трафика

Историческая статистика использования клиентами

Поддержка Netflow

Интеграция с системным журналом

Средства удаленного перехвата пакетов

Поддержка IPv6

Поддержка проводной и беспроводной связи стандарта 802.1X",Meraki,750,https://meraki.cisco.com/wp-content/uploads/2023/05/Z4-hero-product-tile.png
Z4C,Security and SD-WAN (MX),Teleworker,"Cisco Meraki Z4C teleworker gateway - это брандмауэр корпоративного класса, VPN-шлюз и маршрутизатор. Это устройство обеспечивает беспроводное подключение с помощью Wi-Fi 6, пяти гигабитных портов Ethernet, включая встроенный порт с поддержкой PoE для VoIP-телефонов и других устройств с поддержкой PoE. Z4C предназначен для надежного расширения возможностей облачной сети Meraki практически в любом месте. Благодаря встроенному LTE-модему, Z4C упрощает любое развертывание, требующее резервной сотовой линии связи или удаленного расположения.","Особенности
Функции программного обеспечения
Управление осуществляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Брандмауэр с отслеживанием состояния L3/L7

1:1 и 1:Много NAT

Настраиваемые сети VLAN / поддержка DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Конечная точка Meraki AutoVPN и IPSec VPN

Настраиваемое формирование трафика


Историческая статистика использования клиентами

Поддержка Netflow

Интеграция с системным журналом

Средства удаленного перехвата пакетов

Поддержка IPv6

Поддержка проводной и беспроводной связи стандарта 802.1X

Аппаратные возможности
Встроенные беспроводные возможности WiFi 6

Встроенные возможности PoE+

Встроенные возможности сотовой связи LTE",Meraki,1295,https://meraki.cisco.com/wp-content/uploads/2023/10/Z4C-hero-product-tile-1.png
vMX – Large,Security and SD-WAN (MX),"виртуальное устройство,",Виртуальное устройство MX с пропускной способностью VPN 1 Гбит/с,,Meraki,5000,https://meraki.cisco.com/wp-content/uploads/2022/01/vmx-large-security-sdwan-product-tile.png
vMX – Medium,Security and SD-WAN (MX),"виртуальное устройство,",Виртуальное устройство MX с пропускной способностью VPN 500 Мбит/с,,Meraki,2500,https://meraki.cisco.com/wp-content/uploads/2022/01/vmx-medium-security-sdwan-product-tile.png
vMX – Small,Security and SD-WAN (MX),"виртуальное устройство,",Виртуальное устройство MX с пропускной способностью VPN 200 Мбит/с,,Meraki,500,https://meraki.cisco.com/wp-content/uploads/2022/01/vmx-small-security-sdwan-product-tile.png
MT14,Сенсорные датчики,Модели,"Качество воздуха в помещениях приобретает все большее значение для школ, предприятий и других организаций, поскольку они стремятся создавать интеллектуальные, устойчивые здания, обеспечивающие безопасную и комфортную среду обитания для людей. С другой стороны, низкое качество воздуха может снизить производительность труда или вызвать неблагоприятные последствия для здоровья, от легких до серьезных. 

Cisco Meraki MT14, входящий в линейку Meraki MTsensor, обеспечивает мониторинг качества воздуха в помещениях в режиме реального времени для создания интеллектуальных пространств и безопасной среды. MT14 может определять наличие химических веществ, мусора, экстремальную температуру, влажность и шум. Если по какой-либо причине качество воздуха ухудшается, MT может немедленно уведомить вас или автоматизировать систему кондиционирования воздуха в здании, чтобы увеличить вентиляцию и обезопасить людей.","Физические характеристики
Размеры: 130,0 мм (Д) х 75,4 мм (Ш) х 31,6 мм (В)

Вес (без учета батареек): 102 г

Батарейный отсек

Многоцветный, многофункциональный индикатор состояния

Кнопка общего назначения

Кнопка сброса

Порт USB-C (штепсельный разъем)",Meraki,250,https://meraki.cisco.com/wp-content/uploads/2023/09/mt14-Сенсорные датчики-product-tile.png
MT15,Сенсорные датчики,Модели,"Качество воздуха в помещениях приобретает все большее значение для школ, предприятий и других организаций, стремящихся обеспечить безопасную и комфортную среду обитания. 

MT15 - это наш самый эффективный датчик качества воздуха, который обеспечивает мониторинг содержания углекислого газа для повышения производительности студентов и сотрудников. Он отслеживает реальные показатели CO2, TVOC, PM2,5, температуру, влажность и окружающий шум. Он также оснащен светодиодным визуальным индикатором, который предоставляет информацию о качестве воздуха людям, находящимся в помещении. Наконец, MT15 имеет гибкие возможности питания, включая как USB-C, так и PoE-порт на устройстве, которые расположены таким образом, что кабели могут быть скрыты.MT15 может быть установлен в любом помещении, но будет особенно полезен для мониторинга качества воздуха в классах и офисах, где учащиеся и сотрудники проводят большую часть своего времени, выполняя действия, требующие когнитивных усилий.

Предприятиям необходимо иметь полное представление о данных для принятия обоснованных решений. Предприятиям необходимо иметь представление о показателях доступности сети, капитальных и эксплуатационных расходах, а также об уровне удовлетворенности клиентов, чтобы выполнять свою миссию. Несмотря на то, что компании хорошо разбираются в использовании данных в деловом мире, им еще предстоит полностью представить себе физический мир. 

 

Современные решения сложны в установке, не поддаются масштабированию и сложны в использовании. Следовательно, у предприятий нет простого и надежного способа получить доступ к своим критически важным ресурсам, чтобы максимально увеличить время безотказной работы сети, снизить количество отказов оборудования, сократить количество ненужных посещений объектов и обеспечить лучшее в своем классе обслуживание клиентов.","Физические характеристики
Размеры	
115,0 (Д) x 125 (Ш) x 33,5 (В) мм

Вес 216 г
Номинальная мощность	
USB-C: 5 В;0,2 А 

PoE: 802.3af (только для питания)

Рабочая среда	
Температура: 0°C - 55°C (32F - 131F)

Относительная влажность: 0 - 95 % Относительной влажности воздуха

Оборудование	
Многоцветное, многофункциональное кольцо индикатора состояния

Кнопка общего назначения

Кнопка сброса

Порт USB-C для дополнительного питания",Meraki,500,https://meraki.cisco.com/wp-content/uploads/2023/07/MT15-product-hero-light.png
MT10,Сенсорные датчики,Модели,"Компаниям необходимо иметь полное представление о данных для принятия обоснованных решений. Компаниям необходимо иметь представление о показателях доступности сети, капитальных и эксплуатационно-технических расходах, а также об уровне удовлетворенности клиентов, чтобы выполнять свою миссию. Несмотря на то, что компании хорошо разбираются в использовании данных в деловом мире, им еще предстоит полностью визуализировать физический мир. 

 

Современные решения сложны в установке, не поддаются масштабированию и сложны в использовании. Следовательно, у предприятий нет простого и надежного способа получить доступ к своим критически важным ресурсам, чтобы максимально увеличить время безотказной работы сети, снизить количество отказов оборудования, сократить количество ненужных посещений объектов и обеспечить лучшее в своем классе обслуживание клиентов.","Physical Characteristics
Размеры	117.1(L)X65.9(W)x 26.0(H)mm
Вес (excluding batteries)	102g 
Battery Compartment	2xAA Battery with up to 5 year battery life
Operating Environment	
Temperature: 0°C - 55°C(32F - 131F)

Relative Влажность: 0 - 95% RH
Hardware	
Multicolor, multifunction status LED

General purpose button

Reset button

USB-C Port",Meraki,150,https://meraki.cisco.com/wp-content/uploads/2023/09/mt10-Сенсорные датчики-product-tile.png
MT20,Сенсорные датчики,Модели,"Компаниям необходимо иметь полное представление о данных для принятия обоснованных решений. Компаниям необходимо иметь представление о показателях доступности сети, капитальных и эксплуатационно-технических расходах, а также об уровне удовлетворенности клиентов, чтобы выполнять свою миссию. Несмотря на то, что компании хорошо разбираются в использовании данных в деловом мире, им еще предстоит полностью визуализировать физический мир. 

 

Современные решения сложны в установке, не поддаются масштабированию и сложны в использовании. Следовательно, у предприятий нет простого и надежного способа получить доступ к своим критически важным ресурсам, чтобы максимально увеличить время безотказной работы сети, снизить количество отказов оборудования, сократить количество ненужных посещений объектов и обеспечить лучшее в своем классе обслуживание клиентов.","Физические характеристики
Размеры основного устройства: 81,2 (Д)Х 39,7 (Ш)Х 19,5 (В) мм;
Размеры магнитной крышки: 59,5 (Д) Х 12 (Ш) Х 13,35 (В) мм
Вес основного устройства (без учета батареек): 29 г;
Вес магнитной крышки: 10 г
Батарейный отсек: 1 батарейка типа АА, срок службы до 5 лет
Рабочая среда	
Температура: 0°C - 55°C (32F - 131F)

Относительная влажность: 0 - 95% Относительной влажности воздуха
Оборудование	
Многоцветный, многофункциональный индикатор состояния

Кнопка общего назначения

Кнопка сброса

Порт USB-C
Warranty	3 Years",Meraki,150,https://meraki.cisco.com/wp-content/uploads/2023/09/mt20-Сенсорные датчики-product-tile.png
Лицензия,Сенсорные датчики,Лицензия,Корпоративная лицензия,,Meraki,150,https://meraki.cisco.com/wp-content/uploads/2023/09/300ppi-enterprise-license.png
AC to USB-C power adapter,Сенсорные датчики,Аксессуары,Дополнительный адаптер переменного тока к USB-C для постоянного питания,,Meraki,43,https://meraki.cisco.com/wp-content/uploads/2023/09/ac-power-Сенсорные датчики-product-tile.png
Bare Metal Temperature Probe,Сенсорные датчики,Аксессуары,10-футовый (3 м) металлический датчик температуры для датчика MT11,,Meraki,75,https://meraki.cisco.com/wp-content/uploads/2023/09/bare-metal-temperature-probe-Сенсорные датчики-product-tile.png
